Delay_from_due_date,Num_of_Delayed_Payment,Num_Credit_Inquiries,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Amount_invested_monthly,Monthly_Balance,Credit_Score,Credit_Mix,Payment_Behaviour,Age,Annual_Income,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Monthly_Inhand_Salary,Changed_Credit_Limit,Outstanding_Debt,Total_EMI_per_month
3,7,4,26.82261962,265,No,80.41529544,312.4940887,Good,Good,High_spent_Medium_value_payments,23,19114.12,3,4,3,4,1824.843333,11.27,809.98,49.57494921
3,7,4,31.94496006,265,No,118.2802216,284.6291625,Good,Good,High_spent_Medium_value_payments,23,19114.12,3,4,3,4,1824.843333,11.27,809.98,49.57494921
3,7,4,28.60935202,267,No,81.69952126,331.2098629,Good,Good,High_spent_Medium_value_payments,23,19114.12,3,4,3,4,1824.843333,11.27,809.98,49.57494921
5,4,4,31.37786187,268,No,199.4580744,223.4513097,Good,Good,High_spent_Medium_value_payments,23,19114.12,3,4,3,4,1824.843333,11.27,809.98,49.57494921
6,4,4,24.79734691,269,No,41.42015309,341.489231,Good,Good,High_spent_Medium_value_payments,23,19114.12,3,4,3,4,1824.843333,11.27,809.98,49.57494921
8,4,4,27.26225871,270,No,62.43017233,340.4792118,Good,Good,High_spent_Medium_value_payments,23,19114.12,3,4,3,4,1824.843333,11.27,809.98,49.57494921
3,8,4,22.53759303,271,No,178.3440674,244.5653167,Good,Good,High_spent_Medium_value_payments,23,19114.12,3,4,3,4,1824.843333,11.27,809.98,49.57494921
3,6,4,23.9337948,271,No,24.78521651,358.1241676,Standard,Good,High_spent_Medium_value_payments,23,19114.12,3,4,3,4,1824.843333,11.27,809.98,49.57494921
3,4,2,24.46403064,319,No,104.2918252,470.6906269,Standard,Good,High_spent_Large_value_payments,28,34847.84,2,4,6,1,3037.986667,5.42,605.03,18.81621457
7,1,2,38.55084843,320,No,40.39123783,484.5912143,Good,Good,High_spent_Large_value_payments,28,34847.84,2,4,6,1,3037.986667,5.42,605.03,18.81621457
3,1,2,33.22495079,321,No,58.5159757,466.4664764,Standard,Good,High_spent_Large_value_payments,28,34847.84,2,4,6,1,3037.986667,5.42,605.03,18.81621457
3,3,2,39.18265566,322,No,99.30622796,465.6762241,Good,Good,High_spent_Large_value_payments,28,34847.84,2,4,6,1,3037.986667,5.42,605.03,18.81621457
3,1,2,34.97789475,323,No,130.1154202,444.8670319,Good,Good,High_spent_Large_value_payments,28,34847.84,2,4,6,1,3037.986667,5.42,605.03,18.81621457
3,0,2,33.3810102,324,No,43.47719014,481.5052619,Good,Good,High_spent_Large_value_payments,28,34847.84,2,4,6,1,3037.986667,5.42,605.03,18.81621457
3,4,2,31.13170161,325,NM,70.10177421,464.8806779,Good,Good,High_spent_Large_value_payments,28,34847.84,2,4,6,1,3037.986667,5.42,605.03,18.81621457
3,4,2,32.93385629,326,No,218.9043435,356.0781086,Good,Good,High_spent_Large_value_payments,28,34847.84,2,4,6,1,3037.986667,5.42,605.03,18.81621457
5,8,3,28.61673482,213,No,168.4137027,1043.315978,Good,Good,High_spent_Small_value_payments,34,143162.64,1,5,8,3,12187.22,7.1,1303.01,246.9923195
13,6,3,41.70257342,214,No,232.8603838,998.8692968,Good,Good,High_spent_Small_value_payments,34,143162.64,1,5,8,3,12187.22,7.1,1303.01,246.9923195
8,7,3,26.51981539,215,No,260.4911313,715.7413674,Good,Good,High_spent_Small_value_payments,34,143162.64,1,5,8,3,12187.22,7.1,1303.01,246.9923195
8,5,3,39.50164811,215,No,825.2162699,426.5134106,Good,Good,High_spent_Small_value_payments,34,143162.64,1,5,8,3,12187.22,7.1,1303.01,246.9923195
10,5,3,31.37614957,217,No,430.9475279,810.7821527,Good,Good,High_spent_Small_value_payments,34,143162.64,1,5,8,3,12187.22,7.1,1303.01,246.9923195
8,6,3,39.78399346,218,No,257.8080994,963.9215811,Good,Good,High_spent_Small_value_payments,34,143162.64,1,5,8,3,12187.22,7.1,1303.01,246.9923195
8,6,3,38.06862363,219,No,263.1741632,968.5555174,Standard,Good,High_spent_Small_value_payments,34,143162.64,1,5,8,3,12187.22,7.1,1303.01,246.9923195
8,6,3,38.37475295,220,No,260.4911313,895.4945832,Standard,Good,High_spent_Small_value_payments,34,143162.64,1,5,8,3,12187.22,7.1,1303.01,246.9923195
0,6,4,26.54422872,207,No,81.22885871,433.604773,Standard,Good,Low_spent_Large_value_payments,55,30689.89,2,5,4,1,2612.490833,1.99,632.46,16.41545166
5,3,4,35.27998178,208,No,124.8818199,409.9518118,Standard,Good,Low_spent_Large_value_payments,55,30689.89,2,5,4,1,2612.490833,1.99,632.46,16.41545166
3,9,4,32.30116343,209,NM,83.4065088,411.4271229,Standard,Good,Low_spent_Large_value_payments,55,30689.89,2,5,4,1,2612.490833,1.99,632.46,16.41545166
7,6,4,38.13234819,210,No,272.3340374,262.4995943,Standard,Good,Low_spent_Large_value_payments,55,30689.89,2,5,4,1,2612.490833,1.99,632.46,16.41545166
5,6,4,41.15431655,211,No,84.95284817,359.3749155,Standard,Good,Low_spent_Large_value_payments,55,30689.89,2,5,4,1,2612.490833,1.99,632.46,16.41545166
5,6,4,27.44542179,212,No,84.95284817,419.8807835,Standard,Good,Low_spent_Large_value_payments,55,30689.89,2,5,4,1,2612.490833,1.99,632.46,16.41545166
5,6,4,26.05639528,213,No,71.28367488,443.5499568,Standard,Good,Low_spent_Large_value_payments,55,30689.89,2,5,4,1,2612.490833,1.99,632.46,16.41545166
4,9,4,27.33251493,214,No,125.6172505,379.2163811,Standard,Good,Low_spent_Large_value_payments,55,30689.89,2,5,4,1,2612.490833,1.99,632.46,16.41545166
5,12,4,39.79776423,368,Yes,276.7253943,288.6055223,Standard,Standard,High_spent_Medium_value_payments,21,35547.71,7,5,5,0,2853.309167,2.58,943.86,0
9,12,4,27.02036025,369,NM,74.44364105,460.8872756,Standard,Standard,High_spent_Medium_value_payments,21,35547.71,7,5,5,0,2853.309167,2.58,943.86,0
5,12,4,23.46230304,370,Yes,173.138651,392.1922657,Standard,Standard,High_spent_Medium_value_payments,21,35547.71,7,5,5,0,2853.309167,2.58,943.86,0
1,15,4,28.92495378,371,Yes,96.78548509,438.5454316,Standard,Standard,High_spent_Medium_value_payments,21,35547.71,7,5,5,0,2853.309167,2.58,943.86,0
9,17,4,41.77618715,372,Yes,62.72327834,482.6076383,Standard,Standard,High_spent_Medium_value_payments,21,35547.71,7,5,5,0,2853.309167,2.58,943.86,0
5,15,4,29.21755633,373,Yes,37.64363789,497.6872788,Standard,Standard,High_spent_Medium_value_payments,21,35547.71,7,5,5,0,2853.309167,2.58,943.86,0
10,15,4,26.26382269,374,Yes,181.0119827,394.3189339,Standard,Standard,High_spent_Medium_value_payments,21,35547.71,7,5,5,0,2853.309167,2.58,943.86,0
1,15,4,25.86292247,375,Yes,181.330901,364.0000157,Standard,Standard,High_spent_Medium_value_payments,21,35547.71,7,5,5,0,2853.309167,2.58,943.86,0
12,10,2,39.96268501,384,No,98.67440994,740.1960901,Good,Good,Low_spent_Large_value_payments,31,73928.46,4,5,8,0,5988.705,10.14,548.2,0
8,7,2,42.7698644,384,NM,172.9392145,705.9312855,Good,Good,Low_spent_Large_value_payments,31,73928.46,4,5,8,0,5988.705,10.14,548.2,0
8,7,2,40.71218653,384,No,150.0597343,698.8107657,Good,Good,Low_spent_Large_value_payments,31,73928.46,4,5,8,0,5988.705,10.14,548.2,0
8,7,2,30.20165771,386,No,618.2023913,270.6681087,Good,Good,Low_spent_Large_value_payments,31,73928.46,4,5,8,0,5988.705,10.14,548.2,0
11,7,2,26.33331043,387,No,177.9518357,690.9186643,Good,Good,Low_spent_Large_value_payments,31,73928.46,4,5,8,0,5988.705,10.14,548.2,0
7,7,2,35.27543652,387,No,235.790325,633.080175,Good,Good,Low_spent_Large_value_payments,31,73928.46,4,5,8,0,5988.705,10.14,548.2,0
8,4,2,36.62479126,389,No,348.5093995,510.3611005,Standard,Good,Low_spent_Large_value_payments,31,73928.46,4,5,8,0,5988.705,10.14,548.2,0
8,7,2,31.58098967,390,No,42.63559025,796.2349097,Good,Good,Low_spent_Large_value_payments,31,73928.46,4,5,8,0,5988.705,10.14,548.2,0
0,3,2,32.200509,367,NM,378.1712535,858.4624744,Good,Good,High_spent_Large_value_payments,34,131313.4,0,1,8,2,10469.20776,9.34,352.16,911.2201793
0,2,4,31.98371001,368,No,698.8732707,547.7604572,Good,Good,High_spent_Large_value_payments,34,131313.4,0,1,8,2,10469.20776,9.34,352.16,911.2201793
0,3,4,31.8031345,369,NM,188.0643211,1038.569407,Good,Good,High_spent_Large_value_payments,34,131313.4,0,1,8,2,10469.20776,9.34,352.16,911.2201793
0,2,4,42.6457849,370,No,337.4349563,899.1987716,Good,Good,High_spent_Large_value_payments,34,131313.4,0,1,8,2,10469.20776,9.34,352.16,911.2201793
0,4,4,40.90251715,371,No,263.3789089,963.254819,Good,Good,High_spent_Large_value_payments,34,131313.4,0,1,8,2,10469.20776,9.34,352.16,911.2201793
0,3,4,41.98016961,372,No,86.56638801,1140.06734,Standard,Good,High_spent_Large_value_payments,34,131313.4,0,1,8,2,10469.20776,9.34,352.16,911.2201793
0,2,4,26.94756515,373,No,930.3918978,326.2418302,Good,Good,High_spent_Large_value_payments,34,131313.4,0,1,8,2,10469.20776,9.34,352.16,911.2201793
0,2,4,29.18791265,374,No,870.5223817,396.1113462,Good,Good,High_spent_Large_value_payments,34,131313.4,0,1,8,2,10469.20776,9.34,352.16,911.2201793
30,11,5,24.44806275,176,NM,162.4410092,298.1921581,Poor,Standard,Low_spent_Large_value_payments,30,34081.38,8,7,15,3,2611.115,17.13,1704.18,70.47833267
30,14,5,35.17116002,176,Yes,38.43698276,392.1961846,Poor,Standard,Low_spent_Large_value_payments,30,34081.38,8,7,15,3,2611.115,17.13,1704.18,70.47833267
31,14,5,35.11155247,177,Yes,199.7207655,260.9124018,Poor,Standard,Low_spent_Large_value_payments,30,34081.38,8,7,15,3,2611.115,17.13,1704.18,70.47833267
34,14,5,29.76215931,178,Yes,220.5521919,260.0809754,Poor,Standard,Low_spent_Large_value_payments,30,34081.38,8,7,15,3,2611.115,17.13,1704.18,70.47833267
27,14,5,30.20621422,179,Yes,108.9503949,397.2283547,Standard,Standard,Low_spent_Large_value_payments,30,34081.38,8,7,15,3,2611.115,17.13,1704.18,70.47833267
30,14,5,31.17087232,180,Yes,108.9503949,410.6743661,Standard,Standard,Low_spent_Large_value_payments,30,34081.38,8,7,15,3,2611.115,17.13,1704.18,70.47833267
30,11,5,38.43850508,181,NM,55.45978064,395.1733867,Standard,Standard,Low_spent_Large_value_payments,30,34081.38,8,7,15,3,2611.115,17.13,1704.18,70.47833267
30,14,9,33.82348834,182,Yes,29.32636371,411.3068036,Poor,Standard,Low_spent_Large_value_payments,30,34081.38,8,7,15,3,2611.115,17.13,1704.18,70.47833267
13,11,3,33.66455429,256,No,215.1935159,802.3004421,Good,Good,High_spent_Small_value_payments,23,114838.41,2,5,7,3,9843.8675,8.24,1377.74,226.8927919
14,8,3,27.62632549,257,NM,212.2356022,785.2583559,Good,Good,High_spent_Small_value_payments,23,114838.41,2,5,7,3,9843.8675,8.24,1377.74,226.8927919
11,11,3,35.1415673,258,NM,470.3857957,547.1081624,Good,Good,High_spent_Small_value_payments,23,114838.41,2,5,7,3,9843.8675,8.24,1377.74,226.8927919
11,14,8,30.45903184,259,No,225.0820495,772.4119086,Good,Good,High_spent_Small_value_payments,23,114838.41,2,5,7,3,9843.8675,8.24,1377.74,226.8927919
11,11,8,29.81918663,260,No,649.8093642,367.6845939,Standard,Good,High_spent_Small_value_payments,23,114838.41,2,5,7,3,9843.8675,8.24,1377.74,226.8927919
13,14,8,26.11421387,261,NM,546.3805705,491.1133876,Good,Good,High_spent_Small_value_payments,23,114838.41,2,5,7,3,9843.8675,8.24,1377.74,226.8927919
11,14,8,31.76751565,262,No,215.4682977,792.0256603,Good,Good,High_spent_Small_value_payments,23,114838.41,2,5,7,3,9843.8675,8.24,1377.74,226.8927919
11,11,8,27.81335364,263,No,254.5717672,742.9221908,Standard,Good,High_spent_Small_value_payments,23,114838.41,2,5,7,3,9843.8675,8.24,1377.74,226.8927919
4,0,2,29.51935256,318,NM,154.3527811,341.5544232,Good,Good,Low_spent_Small_value_payments,44,31370.8,1,6,12,2,2825.233333,5.76,421.43,46.61612907
2,0,2,28.22048096,318,No,298.7444693,227.1627349,Good,Good,Low_spent_Small_value_payments,44,31370.8,1,6,12,2,2825.233333,5.76,421.43,46.61612907
2,0,5,31.04641791,319,No,140.820696,375.0865083,Good,Good,Low_spent_Small_value_payments,44,31370.8,1,6,12,2,2825.233333,5.76,421.43,46.61612907
